路段起点,路段终点,2020,2021,2022,2023,2024,技术等级,面层类型,车道数量,路基宽度,路面宽度,面层厚度,修建年度,养护里程（公里）,已绿化里程（公里）,高边坡数量,高边坡长度,涵洞数量
5786,5787,83.8,81.8,94.61,85.87,85.31,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5787,5788,86.1,84.13,93.73,82.55,84.9,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5788,5789,86.5,84.37,91.71,82.12,80.2,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5789,5790,86.8,84.26,93.6,80.05,78.03,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5790,5791,83.6,84.39,95.04,77.12,70.99,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5791,5792,84.3,81.58,93.7,76.13,76.45,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5792,5793,82.9,80.9,92.22,69.89,82.22,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5793,5794,90.1,86.11,90.31,71.96,85.99,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5794,5795,90,83.59,96.43,81.44,80.28,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5795,5796,87,81.56,98.61,81.16,67.65,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5796,5797,85,86.05,97.03,75.54,75.34,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5797,5798,89.2,87.28,96.16,68.96,81.34,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5798,5799,80,83.71,96.56,71.93,75.8,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5799,5800,84.3,85.52,89.23,72.03,82.62,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5800,5801,89.9,88.05,94.77,75.32,79.68,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5801,5802,82.9,84.5,99.02,81.14,81.41,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5802,5803,81.8,82.79,95.74,71.66,85.1,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5803,5804,87.3,86.81,98.58,76.02,85.41,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
