路段起点,路段终点,2020,2021,2022,2023,2024,技术等级,面层类型,车道数量,路基宽度,路面宽度,面层厚度,修建年度,养护里程（公里）,已绿化里程（公里）,高边坡数量,高边坡长度,涵洞数量
5786,5787,93.4,90.36,88.75,88.62,90.31,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5787,5788,92.5,89.03,83.19,91.91,90.81,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5788,5789,93.9,91.6,83.53,89.73,90.95,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5789,5790,91.3,91.14,83.37,92.06,90.86,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5790,5791,91.3,90.65,85.65,92.17,86.41,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5791,5792,89.9,85.06,87.33,91.88,86.55,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5792,5793,92.8,87.65,80.35,87.8,82.04,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5793,5794,86.6,81.78,77.68,87.72,86.75,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5794,5795,89.5,88.68,74.5,82.62,87.78,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5795,5796,83.2,81.57,74.14,87.35,81.26,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5796,5797,88.1,83.13,77.47,88.22,87.96,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5797,5798,92.9,88.33,48.01,83.37,86.95,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5798,5799,91.8,86.75,79.5,88.68,90.91,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5799,5800,93.5,89.19,78.26,88.13,89.85,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5800,5801,93.2,89.08,83.06,91.61,90.95,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5801,5802,93.5,89.95,80.28,90.57,79.81,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5802,5803,89.9,74.84,84.64,91.9,88.09,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5803,5804,91.6,82.47,67.91,80.96,88.15,3,1,2,7,6.5,5,2009,18.525,18.442,9,1117,42
5804,5805,92.3,89.98,80.42,87.87,88.02,3,1,2,7,6.5,5,2009,24.532,24.464,7,1124,56
5805,5806,91.4,89.19,73.8,88.41146185,91.47,3,1,2,7,6.5,5,2009,24.532,24.464,7,1124,56
5806,5807,94.4,91.42,78.29,89.28,86.68,3,1,2,7,6.5,5,2009,24.532,24.464,7,1124,56
5807,5808,91.3,86.88,84.34,92.48,79.33,3,1,2,7,6.5,5,2009,24.532,24.464,7,1124,56
5808,5809,90.2,78.76,82.92,88.21,90.06,3,1,2,7,6.5,5,2009,24.532,24.464,7,1124,56
5809,5810,94.1,90.16,64.75,81.78,90.06,3,1,2,7,6.5,5,2009,24.532,24.464,7,1124,56
5810,5811,93.6,87.21,83.24,90.25,82.21,3,1,2,7,6.5,5,2009,24.532,24.464,7,1124,56
5811,5812,92.4,86.61,86.86,90.78,88.27,3,1,2,7,6.5,5,2009,24.532,24.464,7,1124,56
5812,5813,90.2,87.21,76.48,84.33,87.27,3,1,2,7,6.5,5,2009,24.532,24.464,7,1124,56
5813,5814,94.2,89.19,83.53,89.76,81.7,3,1,2,7,6.5,5,2009,24.532,24.464,7,1124,56
5814,5815,86.8,73.28,76.72,89.29,78.85,3,1,2,7,6.5,5,2009,24.532,24.464,7,1124,56
5815,5816,86.6,78.56,67.03,82.45,84.69,3,1,2,7,6.5,5,2009,24.532,24.464,7,1124,56
5816,5817,91.2,87.78,62.87,80.65,87.9,3,1,2,7,6.5,5,2009,24.532,24.464,7,1124,56
